"","meses_no_local_alocado","churn","idade","anos_formacao","atuacao_previa_no_municipio","anos_atuacao_previa_no_municipio","media_vinculos_mes","Prorrogado","m_agente_saude","m_tec_aux_enf","m_enfermeiro","m_dentista","regiao_destino","populacao","porte","pib_percapita","variacao_pib","tx_pop_ocupada_2019","orcamento_saude","esgotamento_sanitario","taxa_homicidio","ideb_anosfinais","investimento_infraestrutura","equipamentos_esportivos","equipamentos_culturais","distancia_capital"
"1026",17,"migrou",40,2.49691991786448,"Não",0,1,"NÃO",7,1,1,1,"Sul",33567,"PP-II",28563.73,165,19.1974260434355,1439.97,55.62,16.496,NA,1481.03,6.528,9.793,348
"1027",68,"permanece",33,2.49691991786448,"Não",0,1,"SIM",5.73529411764706,1.39705882352941,1.10294117647059,NA,"Sul",33567,"PP-II",28563.73,165,19.1974260434355,1439.97,55.62,16.496,NA,1481.03,6.528,9.793,348
"1028",19,"migrou",31,2.25051334702259,"Não",0,1,"NÃO",7.89473684210526,4.57894736842105,2,1.84210526315789,"Sul",4070,"PP-I",24183.76,122,20.1474201474201,1512.56,0,23.458,NA,2877.545,23.507,47.015,566
"1029",10,"migrou",33,2.91581108829569,"Não",0,1.2,"NÃO",4.5,1,1.2,NA,"Sul",49393,"PP-II",24237.3,134,17.2615552811127,484.31,49.98,26.799,NA,3980.524,5.774,11.547,203
"1030",13,"migrou",53,16.5037645448323,"Não",0,2.4,"NÃO",6,1,1,0.41,"Sul",30738,"PP-II",38000.13,23,22.5030906369965,801.88,43.06,43.984,NA,1623.021,41.435,26.637,431
"1031",25,"migrou",40,1.08418891170431,"Não",0,1.28,"NÃO",9.78125,6.859375,4.59375,1.34375,"Sul",4221,"PP-I",18432.91,56,8.29187396351576,937.07,0,0,NA,1506.614,22.594,22.594,576
"1032",8,"migrou",30,0.167008898015058,"Não",0,1,"NÃO",6,1.875,1,1,"Sul",24573,"PP-II",22573.31,95,16.6198673340658,668.82,51.72,14.973,NA,636.61,3.759,7.518,227
"1033",15,"migrou",31,2.08350444900753,"Não",0,1,"NÃO",8.73333333333333,1,1,1,"Sul",15223,"PP-I",25302.56,105,20.5412862116534,776.48,50.63,6.764,NA,2362.13,20.415,20.415,494
"1034",8,"migrou",33,0.49555099247091,"Não",0,1,"NÃO",6,1,1,NA,"Sul",8613,"PP-I",35237.12,164,17.2297689539069,1125.33,18.77,0,NA,2126.917,25.481,101.924,513
"1035",68,"permanece",48,17.9164955509925,"Não",0,2.23529411764706,"NÃO",5.94117647058824,4.25,1.20294117647059,1.17647058823529,"Sul",25492,"PP-II",36926.62,109,23.5407186568335,1080.22,40.53,26.425,NA,4260.972,3.816,7.632,617
"1036",10,"migrou",48,2.49418206707734,"Não",0,1,"NÃO",4,1,0.95,NA,"Sul",23673,"PP-II",24884.78,162,19.9129810332446,747.55,53.37,19.835,NA,605.757,14.948,24.914,568
"1037",3,"migrou",36,2.5845311430527,"Não",0,1,"NÃO",3.66666666666667,1.33333333333333,1,NA,"Sul",23673,"PP-II",24884.78,162,19.9129810332446,747.55,53.37,19.835,NA,605.757,14.948,24.914,568
"1038",68,"migrou",40,9.50308008213552,"Não",0,1,"SIM",8.5,0.919117647058823,0.856617647058823,NA,"Sul",13726,"PP-I",33828.13,112,8.69153431443975,682.56,8.04,0,NA,1729.285,6.668,13.337,120
"1039",11,"migrou",51,4.08487337440109,"Não",0,1,"NÃO",10.5454545454545,4.86363636363636,2.93181818181818,1,"Sul",118455,"GP",17875.9,104,13.5941918872146,452.02,49.58,35.165,NA,4613.233,6.28,4.187,418
"1040",10,"migrou",49,12.5859000684463,"Não",0,1,"NÃO",9.8,5.025,3.05,1,"Sul",118455,"GP",17875.9,104,13.5941918872146,452.02,49.58,35.165,NA,4613.233,6.28,4.187,418
"1041",56,"migrou",30,0.580424366872005,"Não",0,1.43636363636364,"SIM",6.59259259259259,1.82407407407407,1.25925925925926,NA,"Sul",19188,"PP-I",27863.76,177,21.3206170523244,564.43,59.85,5.151,NA,2294.763,5.143,5.143,270
"1042",18,"migrou",39,1.74674880219028,"Não",0,1,"NÃO",5,3,1,1,"Sul",8215,"PP-I",27925.95,125,15.7395009129641,910.5,76.26,0,NA,2123.904,11.641,23.283,556
