"","meses_no_local_alocado","churn","idade","atuacao_previa_no_municipio","anos_atuacao_previa_no_municipio","media_vinculos_mes","Prorrogado","m_agente_saude","m_tec_aux_enf","m_enfermeiro","m_dentista","regiao_destino","populacao","porte","pib_percapita","variacao_pib","pop_ocupada_2019","var_taxa_ocupacao","orcamento_saude","esgotamento_sanitario","taxa_homicidio","ideb_anosfinais","investimento_infraestrutura","equipamentos_esportivos","equipamentos_culturais","distancia_capital"
"509",30,"migrou",32,"Não",0,1,"NÃO",8,1.23333333333333,1,1,"Nordeste",22034,"PP-II",7072.64,122,1229,-6.10083367662563,562.36,40.59,12.837,3.7,1369.637,4.3,4.3,240
"510",36,"migrou",34,"Não",0,1,"NÃO",12.9722222222222,2.69444444444444,1.36111111111111,NA,"Nordeste",22034,"PP-II",7072.64,122,1229,-6.10083367662563,562.36,40.59,12.837,3.7,1369.637,4.3,4.3,240
"511",35,"migrou",30,"Não",0,1,"NÃO",8.8,1.94285714285714,1.11428571428571,1,"Nordeste",17432,"PP-I",4475.16,46,280,-12.424925673923,279.26,0,5.972,4.1,1718.539,12.157,6.079,145
"512",23,"migrou",45,"Não",0,1,"NÃO",13.0434782608696,2.08695652173913,1.78260869565217,2.01086956521739,"Nordeste",31250,"PP-II",6726.24,106,2002,20.0930896476965,497.6,0,14.324,4.3,4199.604,11.493,2.873,489
"513",22,"migrou",34,"Não",0,1,"NÃO",10,3,1,1.81818181818182,"Nordeste",31250,"PP-II",6726.24,106,2002,20.0930896476965,497.6,0,14.324,4.3,4199.604,11.493,2.873,489
"514",35,"migrou",35,"Não",0,1,"NÃO",8.65714285714286,2.45714285714286,1.02857142857143,NA,"Nordeste",32511,"PP-II",5630.6,101,1450,7.25039352402722,490.3,0,15.597,3.8,2804.993,10.47,2.618,255
"515",10,"migrou",30,"Não",0,1,"NÃO",14.3,3.2,1.8,1.8,"Nordeste",84621,"MP",10740.93,88,5279,-0.792238573709611,677.7,0,47.969,4.5,1480.417,1.205,3.615,113
"516",26,"migrou",31,"Não",0,1,"NÃO",10.8846153846154,2,1,1,"Nordeste",13614,"PP-I",5121.98,116,638,128.648111107344,603.27,0,6.53,3.9,2797.851,13.16,13.16,105
"517",67,"migrou",73,"Sim",0.916666666666667,1,"SIM",14.9850746268657,3.65671641791045,2.02985074626866,1.83582089552239,"Nordeste",38475,"PP-II",8682.63,116,3339,37.8783128032848,481.01,0,37.436,4.5,152.915,9.416,4.708,71
"518",67,"migrou",39,"Não",0,1,"SIM",8.97014925373134,1.74626865671642,1.53731343283582,1,"Nordeste",38475,"PP-II",8682.63,116,3339,37.8783128032848,481.01,0,37.436,4.5,152.915,9.416,4.708,71
"519",37,"migrou",36,"Não",0,1.18918918918919,"NÃO",9,1,1,NA,"Nordeste",41561,"PP-II",6373.02,120,1890,53.5872173905563,494.19,0,26.11,3.5,1990.226,2.394,0,156
"520",67,"migrou",31,"Não",0,1.01492537313433,"SIM",21.4179104477612,3.86567164179104,3.32835820895522,NA,"Nordeste",57635,"MP",8282.73,71,3712,18.5080098053132,498.8,0,23.394,4.2,2087.836,0,2.761,296
"521",11,"migrou",31,"Não",0,1,"NÃO",12,1,1,NA,"Nordeste",23957,"PP-II",7127.78,126,1060,312.646406814339,521.48,0,19.499,3.3,1161.082,23.512,3.919,345
"522",36,"migrou",46,"Não",0,1,"NÃO",4.61111111111111,2.27777777777778,1.33333333333333,1,"Nordeste",37035,"PP-II",7861.26,145,1486,37.8620040662746,406.03,0,18.492,4.4,7623.989,5.347,0,81
"523",62,"migrou",29,"Não",0,1,"SIM",7.82258064516129,1.92338709677419,1.69354838709677,1,"Nordeste",13949,"PP-I",4971.33,117,725,117.665217665218,468.99,0,12.621,3.3,1277.105,12.776,12.776,236
"524",66,"migrou",41,"Não",0,1,"SIM",1.8030303030303,5.89015151515152,1.3030303030303,1.06439393939394,"Nordeste",244579,"GP",11947.19,159,19370,-13.8404873962658,461.18,39.14,27.577,4.6,6051.705,3.403,16.447,30
"525",50,"migrou",36,"Não",0,1.04,"SIM",7.56,1.08,1.06,NA,"Nordeste",8784,"PP-I",5579.27,135,488,201.407742584213,685.22,0,0,4.1,5194.683,0,0,296
"526",50,"migrou",32,"Não",0,1,"SIM",8.62,2.08,2.064,NA,"Nordeste",8784,"PP-I",5579.27,135,488,201.407742584213,685.22,0,0,4.1,5194.683,0,0,296
"527",21,"migrou",30,"Não",0,1,"NÃO",22.7619047619048,4.71428571428571,1.97619047619048,NA,"Nordeste",26484,"PP-II",5838.44,135,1397,52.0915529357562,349.19,0,17.168,4,4962.703,3.441,3.441,280
